Nombre de Usuario,Correo,Tipo de Usuario,Status
admin,admin@ex.com,admin,Habilitado
ArtByLaura,laura@ex.com,ilustrador,Habilitado
cliente1,cliente1@ex.com,cliente,Habilitado
FuzzyPaws,fuzzy@ex.com,ilustrador,Habilitado
GrimShadow,grim@ex.com,ilustrador,Habilitado
NeonSamurai,neon@ex.com,ilustrador,Habilitado
o,o,cliente,Habilitado
PixelPanda,panda@ex.com,ilustrador,Habilitado
RealismPro,real@ex.com,ilustrador,Habilitado
SakuraInk,sakura@ex.com,ilustrador,Habilitado
u,u,ilustrador,Habilitado
VectorVibe,vector@ex.com,ilustrador,Habilitado
VistaMaster,vista@ex.com,ilustrador,Habilitado
